,gene_name,frec
915,LPPR3,3
916,KNSTRN,3
917,CCDC11,3
918,SLC12A8,3
919,NOP14,3
920,INHBA,3
921,EMILIN1,3
922,ELP6,3
923,C11orf52,3
924,S100A9,3
925,EMC10,3
926,DIMT1,3
927,S100A6,3
928,EMC3,3
929,PFKP,3
930,C11orf70,3
931,EMC7,3
932,C11orf53,3
933,S100A14,3
934,NDNL2,3
935,SLAMF7,3
936,DHX9,3
937,TSKS,3
938,LPAR2,3
939,LPAR3,3
940,NDP,3
941,NDOR1,3
942,C10orf82,3
943,EME2,3
944,RRAGD,3
945,CYP27B1,3
946,FBXL13,3
947,ZNF345,3
948,GAPVD1,3
949,CRIM1,3
950,SNX22,3
951,HAS3,3
952,MED10,3
953,GAS1,3
954,CKAP5,3
955,CKB,3
956,PUF60,3
957,GATA5,3
958,GATAD1,3
959,HAPLN3,3
960,ZNF324,3
961,PTPRU,3
962,GBGT1,3
963,GBP4,3
964,JTB,3
965,AFMID,3
966,ZNF341,3
967,POLA2,3
968,STX3,3
969,MRPL47,3
970,CIB2,3
971,QSOX1,3
972,WDR52,3
973,MRPS10,3
974,CRTAM,3
975,KEAP1,3
976,QPCT,3
977,SNURF,3
978,CRNKL1,3
979,PODXL2,3
980,HAUS2,3
981,CRLF2,3
982,PYGO2,3
983,SNX12,3
984,GALNT12,3
985,JMJD7,3
986,MDS2,3
987,GALNT2,3
988,PXDC1,3
989,PTPRJ,3
990,GCKR,3
991,ZNF503,3
992,CLCN3,3
993,KDELR3,3
994,ZNF430,3
995,PTMS,3
996,ZNF436,3
997,STK4,3
998,GFER,3
999,ADCY1,3
1000,ZNF443,3
1001,PTGIR,3
1002,POLR3A,3
1003,SOSTDC1,3
1004,ZNF462,3
1005,SOX11,3
1006,PTGER2,3
1007,STK25,3
1008,STK17B,3
1009,PTCH2,3
1010,CLEC4D,3
1011,CLEC5A,3
1012,GDI1,3
1013,SOHLH2,3
1014,PTPMT1,3
1015,ADRBK1,3
1016,HAAO,3
1017,MED7,3
1018,ADTRP,3
1019,H2AFY,3
1020,ZNF365,3
1021,CLCN6,3
1022,JUN,3
1023,CLCNKB,3
1024,ADRB1,3
1025,ZNF417,3
1026,CLDN19,3
1027,ADPRM,3
1028,ADPGK,3
1029,SOD3,3
1030,PTPN13,3
1031,ADNP2,3
1032,ZNF415,3
1033,MEGF8,3
1034,GAL3ST1,3
1035,R3HCC1,3
1036,MRPS17,3
1037,MCPH1,3
1038,RAD51B,3
1039,HEATR5A,3
1040,ALKBH6,3
1041,RAD23B,3
1042,HEATR2,3
1043,ZFYVE9,3
1044,CHI3L1,3
1045,SMYD5,3
1046,FRS3,3
1047,ALG10B,3
1048,CHL1,3
1049,FSBP,3
1050,FSCN2,3
1051,SV2C,3
1052,ALDOA,3
1053,OXER1,3
1054,RABEP1,3
1055,ALDH3B2,3
1056,ALDH3B1,3
1057,SWT1,3
1058,MATN2,3
1059,FREM1,3
1060,RALGAPA2,3
1061,SMIM6,3
1062,RANBP6,3
1063,FOXH1,3
1064,FOXI2,3
1065,SYN3,3
1066,P2RX4,3
1067,SMOC1,3
1068,SYDE2,3
1069,ITPR3,3
1070,ZFPM1,3
1071,HECW1,3
1072,RALA,3
1073,FP15737,3
1074,RAET1G,3
1075,CSTF2T,3
1076,MATK,3
1077,RAD9A,3
1078,ZFP92,3
1079,JAK3,3
1080,SNAP47,3
1081,SNAPC2,3
1082,CHST11,3
1083,ZNF146,3
1084,G6PD,3
1085,MCHR1,3
1086,SNRNP48,3
1087,AKR1C3,3
1088,CHRNB1,3
1089,AKR1B15,3
1090,CRYGN,3
1091,GABPA,3
1092,MRPS36,3
1093,GABRA2,3
1094,ZNF189,3
1095,SULT1A2,3
1096,KHDRBS1,3
1097,GABRE,3
1098,CRYBB2,3
1099,GABRP,3
1100,MCOLN2,3
1101,PNPLA4,3
1102,SUMO3,3
1103,MBLAC2,3
1104,FXYD2,3
1105,CSNK2A2,3
1106,RAB44,3
1107,OVGP1,3
1108,CSMD2,3
1109,SNCG,3
1110,MBOAT4,3
1111,CSF3,3
1112,HCN4,3
1113,FXYD3,3
1114,CSDE1,3
1115,SNIP1,3
1116,CHRDL2,3
1117,PNO1,3
1118,SUN2,3
1119,FZD10,3
1120,CHRM1,3
1121,RAB30,3
1122,FZD6,3
1123,GTPBP4,3
1124,ZNF506,3
1125,FOXA2,3
1126,ABHD15,3
1127,SRRT,3
1128,GORASP2,3
1129,GOSR1,3
1130,MMP2,3
1131,PPIH,3
1132,PRKAA2,3
1133,ZNF80,3
1134,GP2,3
1135,ABL2,3
1136,CNST,3
1137,PPIL6,3
1138,GPATCH2,3
1139,COMMD9,3
1140,GPC1,3
1141,ZNF83,3
1142,SPNS1,3
1143,OPRL1,3
1144,COMMD4,3
1145,OPRK1,3
1146,SRSF1,3
1147,AC006116.20,3
1148,AC006449.1,3
1149,GOLGA8M,3
1150,PROK1,3
1151,SSH2,3
1152,KCNA5,3
1153,CORIN,3
1154,ZNF730,3
1155,PRMT7,3
1156,PRMT6,3
1157,SSBP3,3
1158,AC011530.4,3
1159,CNOT7,3
1160,PRKDC,3
1161,MMRN2,3
1162,KCNJ8,3
1163,OGN,3
1164,GRIPAP1,3
1165,SPIB,3
1166,ZNF778,3
1167,COPG2,3
1168,COMMD10,3
1169,PRDM8,3
1170,GTPBP2,3
1171,ZNF845,3
1172,SPTSSB,3
1173,ABCA2,3
1174,GPR4,3
1175,GPR45,3
1176,SPTSSA,3
1177,ZSCAN4,3
1178,AATK,3
1179,GPR56,3
1180,SPTLC2,3
1181,COL28A1,3
1182,ZSWIM4,3
1183,GPR83,3
1184,OPCML,3
1185,SPTB,3
1186,ZWINT,3
1187,SPTA1,3
1188,GPR89A,3
1189,A4GNT,3
1190,GPT,3
1191,GPR35,3
1192,MLLT1,3
1193,GPR27,3
1194,COL7A1,3
1195,KCNJ10,3
1196,GPKOW,3
1197,COLGALT2,3
1198,COA4,3
1199,GPR107,3
1200,OPN3,3
1201,GRHL2,3
1202,SRGAP3,3
1203,MLXIPL,3
1204,GPR21,3
1205,KCNH8,3
1206,COL6A6,3
1207,COIL,3
1208,PPP6R1,3
1209,COL10A1,3
1210,ZRANB1,3
1211,ZRSR2,3
1212,MLLT11,3
1213,AC069547.1,3
1214,AC073343.1,3
1215,GSDMB,3
1216,KCNK17,3
1217,ZNF559,3
1218,STARD4,3
1219,ZNF563,3
1220,POSTN,3
1221,CPB1,3
1222,STARD10,3
1223,MPND,3
1224,ZNF569,3
1225,GLI1,3
1226,GTF2A1,3
1227,GLIPR2,3
1228,GLIS2,3
1229,KCTD14,3
1230,MEX3C,3
1231,PSEN1,3
1232,ACSL5,3
1233,ACSL1,3
1234,CLSTN1,3
1235,OAT,3
1236,POPDC3,3
1237,STARD5,3
1238,METTL3,3
1239,SP140,3
1240,MRAS,3
1241,MR1,3
1242,CPNE6,3
1243,STEAP1,3
1244,PSMG4,3
1245,METTL16,3
1246,CLIC2,3
1247,GIPC2,3
1248,GJA9,3
1249,POP4,3
1250,PSMD7,3
1251,GTF3A,3
1252,MPST,3
1253,CLK4,3
1254,GJB6,3
1255,CLMN,3
1256,GJC3,3
1257,PSMD1,3
1258,GLP2R,3
1259,KCNS3,3
1260,GSTM4,3
1261,SSX2IP,3
1262,ST3GAL5,3
1263,ST3GAL4,3
1264,GSN,3
1265,ST3GAL2,3
1266,AC132192.1,3
1267,ZNF674,3
1268,KCNMB2,3
1269,KCNK9,3
1270,PRR13,3
1271,MFSD6L,3
1272,PPAPDC1A,3
1273,MOCOS,3
1274,PRPSAP2,3
1275,SSUH2,3
1276,ZNF696,3
1277,SST,3
1278,GNG10,3
1279,GNG12,3
1280,ORM1,3
1281,COX6B2,3
1282,MFAP5,3
1283,MOXD1,3
1284,STAC2,3
1285,KCNS2,3
1286,GLRX3,3
1287,ACP2,3
1288,KBTBD11,3
1289,CLUAP1,3
1290,PRSS3,3
1291,ZNF610,3
1292,MFN1,3
1293,GMEB1,3
1294,OBSCN,3
1295,GLUD1,3
1296,MFN2,3
1297,GLYR1,3
1298,ACER3,3
1299,MFSD12,3
1300,GM2A,3
1301,PRRG4,3
1302,RAP2A,3
1303,GAL3ST2,3
1304,CELSR2,3
1305,SMIM22,3
1306,PABPC4L,3
1307,KIAA1467,3
1308,FGG,3
1309,AP003774.4,3
1310,SMAD4,3
1311,CTSH,3
1312,SMAD6,3
1313,FHAD1,3
1314,RBMX,3
1315,AP000974.1,3
1316,PABPC1L,3
1317,YTHDC2,3
1318,CENPN,3
1319,MTHFD1,3
1320,FHOD3,3
1321,FGFR3,3
1322,MTHFS,3
1323,ITGB4,3
1324,AP2A1,3
1325,MTMR10,3
1326,FER,3
1327,TANC1,3
1328,CUEDC1,3
1329,RDH16,3
1330,SLMAP,3
1331,APBA1,3
1332,NTF3,3
1333,NTF4,3
1334,RCOR2,3
1335,XYLB,3
1336,NTHL1,3
1337,AP4B1,3
1338,CTU1,3
1339,CELF4,3
1340,RBM6,3
1341,FICD,3
1342,ITGBL1,3
1343,ZBTB3,3
1344,MTBP,3
1345,CEP76,3
1346,KIAA1211,3
1347,RBM10,3
1348,CTH,3
1349,RBFOX3,3
1350,MAPK6,3
1351,ZBTB42,3
1352,CTF1,3
1353,RBBP8NL,3
1354,ZBTB47,3
1355,CERK,3
1356,RBBP7,3
1357,PLGLB2,3
1358,RB1CC1,3
1359,ANKZF1,3
1360,CTNNA3,3
