,gene_name,frec
1196,LRRC7,3
1197,LRRC37A3,3
1198,LRRC3,3
1199,LRRC29,3
1200,LRRC28,3
1201,LRP1B,3
1202,MAPK12,3
1203,MARCH4,3
1204,LPIN2,3
1205,MATN1,3
1206,MIA2,3
1207,MGAT1,3
1208,MFSD3,3
1209,MFHAS1,3
1210,MFAP3L,3
1211,METTL3,3
1212,METTL15,3
1213,METAP2,3
1214,MEN1,3
1215,MED7,3
1216,MED30,3
1217,MCTS1,3
1218,MCTP2,3
1219,MCEE,3
1220,MATR3,3
1221,LRIG2,3
1222,LPCAT3,3
1223,KIAA2018,3
1224,LGALS9C,3
1225,LGALS12,3
1226,LENG9,3
1227,LENEP,3
1228,LDHB,3
1229,LDB3,3
1230,LASP1,3
1231,LAS1L,3
1232,LAMP5,3
1233,LAMA3,3
1234,KRTCAP3,3
1235,KRT16,3
1236,KMT2A,3
1237,KLHDC7B,3
1238,KLHDC10,3
1239,KLF5,3
1240,LGALS2,3
1241,LGMN,3
1242,LOXL4,3
1243,LGR4,3
1244,LOXL1,3
1245,LONP2,3
1246,LNX1,3
1247,LNPEP,3
1248,LMO1,3
1249,LMLN,3
1250,LMBR1L,3
1251,LMAN1,3
1252,LIPJ,3
1253,LIPG,3
1254,LIPE,3
1255,LIPC,3
1256,LIMCH1,3
1257,LILRB1,3
1258,LILRA2,3
1259,HLA-DRB1,3
1260,HIST2H2BE,3
1261,DPYSL2,3
1262,FAM83E,3
1263,FAM27A,3
1264,FAM26E,3
1265,FAM217B,3
1266,FAM179B,3
1267,FAM171A2,3
1268,FAM167A,3
1269,FAM163A,3
1270,FAM150A,3
1271,FAM149A,3
1272,FAM122A,3
1273,FAM110A,3
1274,FAHD2A,3
1275,EXOSC8,3
1276,EXOSC6,3
1277,EXOSC10,3
1278,FAM27B,3
1279,FAM89A,3
1280,EVA1C,3
1281,FAM90A1,3
1282,FIGF,3
1283,FHL3,3
1284,FHIT,3
1285,FGFR4,3
1286,FGFR1OP,3
1287,FFAR3,3
1288,FDXR,3
1289,FCRL2,3
1290,FBXW12,3
1291,FBXO44,3
1292,FBXO34,3
1293,FBXO21,3
1294,FBXL12,3
1295,FANCG,3
1296,FANCD2,3
1297,EXOC3,3
1298,ETV2,3
1299,FKBPL,3
1300,ELOVL2,3
1301,EIF4A3,3
1302,EIF2AK2,3
1303,EIF1AY,3
1304,EGR1,3
1305,EGFL8,3
1306,EFCAB6,3
1307,EFCAB10,3
1308,EEF1A2,3
1309,EDNRA,3
1310,EDN2,3
1311,E4F1,3
1312,E2F7,3
1313,DYX1C1,3
1314,DRG2,3
1315,DRAXIN,3
1316,EIF4B,3
1317,ELTD1,3
1318,ETV1,3
1319,ENAH,3
1320,ETNPPL,3
1321,ETNK2,3
1322,ESRP1,3
1323,ERMAP,3
1324,ERCC1,3
1325,EPPK1,3
1326,EPHX1,3
1327,EPHB1,3
1328,EPHA7,3
1329,EPHA2,3
1330,EPB41L3,3
1331,ENTPD8,3
1332,ENPP2,3
1333,ENOSF1,3
1334,ENDOD1,3
1335,FKBP4,3
1336,FLOT2,3
1337,HIST1H1C,3
1338,GTF3C5,3
1339,GSTA4,3
1340,GSG1L,3
1341,GSC,3
1342,GRWD1,3
1343,GRIN2C,3
1344,GRIK2,3
1345,GRB2,3
1346,GPX3,3
1347,GPX2,3
1348,GPSM1,3
1349,GPRC5D,3
1350,GPR63,3
1351,GPR62,3
1352,GPR42,3
